월,이름,한줄 소개,국가,날씨,온도,추천 이유,이미지 URL,항공권 가격,비행시간,제휴 링크,제휴 안내,CTA 문구,위도,경도
2,싱가포르,"아시아의 미래 도시, 다양성의 용광로",sg,더움,25-32°C,"2월 구정 시즌에 싱가포르를 방문하면 차이나타운의 화려한 등 장식과 음식 축제를 즐길 수 있습니다. 마리나 베이 샌즈, 가든스 바이 더 베이도 필수 코스입니다.",https://images.unsplash.com/photo-1525625293386-3f8f99389edd?w=800,"₩500,000~",약 6시간 30분,,,트립닷컴에서 항공권 확인하기,1.35,103.82
2,베니스,"물 위에 떠 있는 중세 도시, 영원한 낭만의 상징",it,서늘함,4-10°C,2월 베니스 카니발 기간에는 화려한 가면과 코스튬을 입은 사람들이 운하를 누빕니다. 비수기라 숙박비가 저렴하고 진짜 베니스를 느낄 수 있는 시기입니다.,https://images.unsplash.com/photo-1514890547357-a9ee288728e0?w=800,"₩1,400,000~",약 13시간,,,트립닷컴에서 항공권 확인하기,45.44,12.32
2,더블린,기네스 맥주와 켈트 문화의 에메랄드 도시,ie,서늘함,5-10°C,"2월 비수기라 항공권과 숙박이 저렴합니다. 트리니티 칼리지, 기네스 스토어하우스, 아이리시 펍 라이브 음악을 즐겨보세요. 몰허 절벽 당일치기도 추천합니다.",https://images.unsplash.com/photo-1549918864-48ac978761a4?w=800,"₩1,300,000~",약 14시간,,,트립닷컴에서 항공권 확인하기,53.33,-6.25
2,암스테르담,"운하의 도시, 자전거와 튤립의 나라",nl,서늘함,3-8°C,"2월 비수기 암스테르담은 국립미술관, 반 고흐 미술관을 여유롭게 즐길 수 있습니다. 운하를 따라 자전거를 타며 진짜 암스테르담 일상을 경험해보세요.",https://images.unsplash.com/photo-1534351590666-13e3e96b5017?w=800,"₩1,300,000~",약 13시간,,,트립닷컴에서 항공권 확인하기,52.37,4.9
2,리우데자네이루,세계 최대 카니발이 열리는 삼바의 도시,br,더움,26-34°C,"2월은 리우 카니발 시즌! 세계 3대 축제 중 하나인 화려한 삼바 퍼레이드를 직접 볼 수 있습니다. 코르코바두 예수상, 이파네마 해변, 슈가로프 산까지 즐겨보세요.",https://images.unsplash.com/photo-1483729558449-99ef09a8c325?w=800,"₩2,000,000~",약 22시간(경유),,,트립닷컴에서 항공권 확인하기,-22.91,-43.17
2,부에노스아이레스,"탱고와 스테이크, 남미의 파리",ar,더움,22-30°C,"남반구의 한여름인 2월, 부에노스아이레스는 활기가 넘칩니다. 라 보카 거리, 탱고 쇼, 레콜레타 묘지 산책, 팜파스 스테이크 하우스까지 빠져들 것들 투성입니다.",https://images.unsplash.com/photo-1589909202802-8f4aadce1849?w=800,"₩1,900,000~",약 23시간(경유),,,트립닷컴에서 항공권 확인하기,-34.61,-58.38
2,뉴올리언스,재즈와 마디그라 축제의 황홀한 도시,us,서늘함,12-18°C,2월 마디그라 시즌의 뉴올리언스는 화려한 퍼레이드와 살사 음악으로 온 도시가 파티장이 됩니다. 크레올 요리와 라이브 음악으로 독특한 미국 문화를 경험하세요.,https://images.unsplash.com/photo-1619112038068-a71c2f2cd28a?w=800,"₩1,700,000~",약 16시간(경유),,,트립닷컴에서 항공권 확인하기,29.95,-90.07
2,발리,"해변과 사원, 라이스 테라스의 휴양 천국",id,화창함,26-31°C,"아름다운 해변과 사원, 라이스 테라스로 유명한 발리. 요가와 스파, 서핑을 즐기며 몸과 마음을 재충전할 수 있는 완벽한 휴양지입니다.",https://images.unsplash.com/photo-1604741872417-230e572a4c72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxCYWxpJTIwSW5kb25lc2lhJTIwdGVtcGxlfGVufDF8fHx8MTc3MTc0Nzc1Nnww&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"₩450,000~",직항 약 6시간 30분,,,트립닷컴에서 항공권 확인하기,-8.34,115.09
2,리우데자네이루,"코파카바나와 예수상, 카니발의 열정 도시",br,더움,25-35°C,코파카바나 해변과 예수상으로 유명한 리우데자네이루. 2월 카니발 시즌에는 전 세계에서 가장 화려하고 열정적인 축제를 경험할 수 있습니다.,https://images.unsplash.com/photo-1649934126054-7687cdcef7d1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxSaW8lMjBkZSUyMEphbmVpcm8lMjBCcmF6aWx8ZW58MXx8fHwxNzcxNzQ3NzU3fDA&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"₩1,500,000~",경유 약 24시간,,,트립닷컴에서 항공권 확인하기,-22.91,-43.17
3,도쿄,벚꽃이 터지는 세계 최대의 대도시,jp,쾌청함,8-16°C,"3월 말~4월 초, 도쿄의 우에노 공원, 신주쿠 교엔, 메구로강변이 벚꽃으로 뒤덮입니다. 하나미 문화와 함께 편의점 사쿠라 한정 메뉴까지, 봄 도쿄는 특별합니다.",https://images.unsplash.com/photo-1540959733332-eab4deabeeaf?w=800,"₩300,000~",약 2시간 30분,,,트립닷컴에서 항공권 확인하기,35.68,139.69
3,교토,"천 년 고도의 봄, 기온 거리의 벚꽃 터널",jp,쾌청함,7-15°C,"기온 거리, 마루야마 공원, 철학의 길의 벚꽃은 교토를 그림엽서 속으로 만들어줍니다. 게이샤를 마주칠 수 있는 거리를 거닐며 봄 교토의 우아함을 느껴보세요.",https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?w=800,"₩350,000~",약 2시간 30분,,,트립닷컴에서 항공권 확인하기,35.01,135.77
3,오사카,오사카성 공원의 벚꽃 삼각편대,jp,쾌청함,8-16°C,"오사카성 공원의 벚꽃, 나라의 사슴과 벚꽃, 고베 항구와 벚꽃의 조합은 완벽한 봄 일본 여행입니다. 세 도시를 묶어 여행하면 다양한 매력을 한 번에 즐길 수 있습니다.",https://images.unsplash.com/photo-1551641506-ee5bf4cb45f1?w=800,"₩300,000~",약 2시간,,,트립닷컴에서 항공권 확인하기,34.69,135.5
3,암스테르담,세계 최대 튤립 공원 쾨켄호프의 계절,nl,서늘함,7-13°C,3월 말부터 5월까지 쾨켄호프 공원에서 700만 송이의 튤립이 피어납니다. 네덜란드의 봄은 전 세계 어디에서도 볼 수 없는 꽃의 바다를 선물합니다.,https://images.unsplash.com/photo-1523906834658-6e24ef2386f9?w=800,"₩1,300,000~",약 13시간,,,트립닷컴에서 항공권 확인하기,52.37,4.9
3,프라하,"동유럽의 동화 도시, 황금빛 첨탑의 수도",cz,서늘함,4-12°C,"비수기 끝 무렵인 3월 프라하는 관광객도 적고 항공권도 저렴합니다. 프라하성, 카를교, 구시가 광장을 여유롭게 즐기고 체코 맥주를 마음껏 즐겨보세요.",https://images.unsplash.com/photo-1541849546-216549ae216d?w=800,"₩1,200,000~",약 12시간,,,트립닷컴에서 항공권 확인하기,50.08,14.44
3,포르투,아줄레주 타일과 포트 와인의 언덕 도시,pt,서늘함,10-16°C,"3월 봄이 시작되는 포르투는 미모사 꽃이 노랗게 피어납니다. 동 루이스 철교 전망, 렐루 서점, 포트 와인 셀러 투어까지. 리스본보다 소박하지만 더 진실된 포르투갈입니다.",https://images.unsplash.com/photo-1555881400-74d7acaacd8b?w=800,"₩1,250,000~",약 14시간,,,트립닷컴에서 항공권 확인하기,41.16,-8.63
3,파타고니아,"세상 끝의 빙하와 대자연, 트레커의 성지",ar,서늘함,8-15°C,"남반구의 초가을인 3월은 파타고니아 트레킹 최적기입니다. 페리토 모레노 빙하, 피츠로이 봉우리, 토레스 델 파이네의 장엄한 풍경을 맑은 날씨 속에 만날 수 있습니다.",https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?w=800,"₩2,200,000~",약 24시간(경유),,,트립닷컴에서 항공권 확인하기,-50.34,-72.27
3,코스타리카,"생태관광의 천국, 열대 우림과 화산의 나라",cr,쾌청함,22-28°C,"건기가 끝나가는 3월 코스타리카는 여행하기 최적입니다. 아레날 화산, 몬테베르데 운무림, 마누엘 안토니오 해변까지 자연 그 자체를 즐길 수 있는 에코 투어리즘의 성지입니다.",https://images.unsplash.com/photo-1552465011-b4e21bf6e79a?w=800,"₩1,800,000~",약 19시간(경유),,,트립닷컴에서 항공권 확인하기,9.75,-83.75
3,포틀랜드,"힙스터 문화와 브루어리, 장미의 도시",us,서늘함,7-13°C,"3월 포틀랜드는 벚꽃이 피고 야외 파머스마켓이 열리며 봄이 시작됩니다. 파월 서점, VooDoo Doughnuts, 킬링필드 포도밭 와이너리까지 개성 넘치는 도시를 즐겨보세요.",https://images.unsplash.com/photo-1501004318641-b39e6451bec6?w=800,"₩1,600,000~",약 11시간,,,트립닷컴에서 항공권 확인하기,45.52,-122.68
3,도쿄,전통과 현대가 조화로운 일본의 수도,jp,맑음,5-15°C,"일본의 수도 도쿄는 전통과 현대가 조화롭게 어우러진 매력적인 도시입니다. 봄에는 아름다운 벚꽃을, 가을에는 단풍을, 겨울에는 일루미네이션을 즐길 수 있습니다.",https://images.unsplash.com/photo-1648871647634-0c99b483cb63?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxUb2t5byUyMEphcGFuJTIwY2l0eXNjYXBlfGVufDF8fHx8MTc3MTc0MjI1M3ww&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"₩350,000~",직항 약 2시간 30분,,,트립닷컴에서 항공권 확인하기,35.68,139.69
3,바르셀로나,가우디 건축과 지중해 해변이 만나는 도시,es,화창함,18-26°C,"사그라다 파밀리아, 구엘 공원 등 가우디의 건축물로 유명한 바르셀로나. 지중해의 아름다운 해변과 맛있는 타파스를 즐길 수 있습니다.",https://images.unsplash.com/photo-1595685842822-7893ddb30176?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMGFyY2hpdGVjdHVyZXxlbnwxfHx8fDE3NzE2NjYzNDJ8MA&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"₩850,000~",직항 약 12시간,,,트립닷컴에서 항공권 확인하기,41.39,2.15
4,교토(봄 절정),"벚꽃 만개, 기온 마쓰리 축제의 달",jp,쾌청함,12-20°C,4월 기온 마쓰리 축제와 함께 교토의 봄은 절정을 맞습니다. 신록이 벚꽃을 대체하기 시작하고 녹차 정원과 대나무 숲이 생기를 더합니다. 가장 많은 관광객이 몰리지만 그만한 이유가 있습니다.,https://images.unsplash.com/photo-1528360983277-13d401cdc186?w=800,"₩350,000~",약 2시간 30분,,,트립닷컴에서 항공권 확인하기,35.01,135.77
4,세비야,"플라멩코와 타파스, 스페인 문화의 심장부",es,쾌청함,18-26°C,"4월 세마나 산타와 페리아 데 아브릴 축제가 열리는 세비야는 스페인 열정의 극치입니다. 알카사르 궁전, 히랄다 탑, 플라멩코 쇼가 함께 어우러집니다.",https://images.unsplash.com/photo-1558642084-fd07fae5282e?w=800,"₩1,300,000~",약 14시간,,,트립닷컴에서 항공권 확인하기,37.39,-5.99
4,파리,"봄의 파리, 사랑하는 사람과 걷고 싶은 도시",fr,쾌청함,12-18°C,"4월 파리는 마로니에 꽃이 피고 센 강변 카페들이 테라스를 열기 시작합니다. 봄의 에펠탑, 튈르리 정원 산책, 몽마르트 언덕의 아티스트들과 함께하는 봄 파리는 완벽합니다.",https://images.unsplash.com/photo-1502602898657-3e91760cbb34?w=800,"₩1,300,000~",약 12시간 30분,,,트립닷컴에서 항공권 확인하기,48.86,2.35
4,산토리니,"흰 벽과 파란 지붕, 에게해의 보석",gr,쾌청함,16-22°C,"4월 산토리니는 성수기 전이라 인파가 적고 가격도 합리적입니다. 이아 마을의 환상적인 석양, 화산 와이너리 투어, 붉은 해변과 검은 해변을 여유롭게 즐길 수 있는 최적의 시기입니다.",https://images.unsplash.com/photo-1570077188670-e3a8d69ac5ff?w=800,"₩1,500,000~",약 13시간,,,트립닷컴에서 항공권 확인하기,36.39,25.46
4,이스탄불,"두 대륙에 걸친 도시, 동서양의 교차로",tr,쾌청함,12-19°C,"4월 이스탄불은 튤립 축제가 열려 도시 전체가 꽃으로 덮입니다. 블루 모스크, 아야 소피아, 그랜드 바자르, 보스포러스 크루즈까지 동서양이 공존하는 독특한 경험을 제공합니다.",https://images.unsplash.com/photo-1541432901042-2d8bd64b4a9b?w=800,"₩1,100,000~",약 11시간,,,트립닷컴에서 항공권 확인하기,41.01,28.95
4,쿠스코,"잉카 제국의 수도, 마추픽추로 가는 관문",pe,서늘함,8-18°C,"4월은 페루 건기의 시작으로 마추픽추를 가장 선명하게 볼 수 있는 시기입니다. 쿠스코 구시가, 잉카 성벽, 삭사이와만 요새까지 잉카 문명의 신비를 가득 담을 수 있습니다.",https://images.unsplash.com/photo-1526392060635-9d6019884377?w=800,"₩2,000,000~",약 22시간(경유),,,트립닷컴에서 항공권 확인하기,-13.53,-71.97
4,멕시코시티,아즈텍 문명과 현대 미술이 공존하는 거대 도시,mx,쾌청함,14-26°C,"4월은 멕시코시티 여행 최적 시즌입니다. 소칼로 광장, 테오티우아칸 피라미드, 프리다 칼로 박물관, 차풀테펙 공원까지 라틴 아메리카 최대 도시의 깊은 매력에 빠져보세요.",https://images.unsplash.com/photo-1518638150340-f706e86654de?w=800,"₩1,600,000~",약 16시간(경유),,,트립닷컴에서 항공권 확인하기,19.43,-99.13
4,밴쿠버,산과 바다가 만나는 북미 최고의 자연 도시,ca,서늘함,10-16°C,"4월 밴쿠버는 벚꽃 시즌으로 밴쿠버 벚꽃 축제가 열립니다. 스탠리 파크 산책, 개스타운 탐방, 휘슬러 스키장 라스트 런, 킬리노 해변의 봄 풍경까지 도시와 자연이 조화롭습니다.",https://images.unsplash.com/photo-1559511260-65f3e8e0ef14?w=800,"₩1,300,000~",약 10시간,,,트립닷컴에서 항공권 확인하기,49.25,-123.12
4,파리,에펠탑과 예술이 살아 숨 쉬는 로맨틱 도시,fr,화창함,15-25°C,"에펠탑, 루브르 박물관, 개선문 등 세계적인 명소가 가득한 파리는 언제나 여행자들의 로망입니다. 봄과 가을의 파리는 특히 아름답습니다.",https://images.unsplash.com/photo-1642947392578-b37fbd9a4d45?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxQYXJpcyUyMEZyYW5jZSUyMEVpZmZlbCUyMFRvd2VyfGVufDF8fHx8MTc3MTc0Nzc1NHww&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"₩800,000~",직항 약 12시간,,,트립닷컴에서 항공권 확인하기,48.86,2.35
5,삿포로,"라벤더와 눈 녹은 산, 일본의 또 다른 얼굴",jp,쾌청함,10-18°C,"5월 홋카이도는 늦봄 꽃들이 피어나고 겨울 내내 쌓인 눈이 녹아 산천이 살아납니다. 시로이 고이비토 파크, 삿포로 맥주 박물관, 비에이 구릉 드라이브까지 일본 본토와 다른 매력입니다.",https://images.unsplash.com/photo-1542051841857-5f90071e7989?w=800,"₩400,000~",약 3시간,,,트립닷컴에서 항공권 확인하기,43.06,141.35
5,부탄(팀푸),"세계에서 가장 행복한 나라, 히말라야의 왕국",bt,쾌청함,12-20°C,"5월은 부탄 트레킹 최적기입니다. 탁챙 사원(호랑이 둥지), 푸나카 종, 탈부 축제를 경험하며 국민 행복 지수를 실천하는 나라에서 진정한 슬로우 트래블을 즐겨보세요.",https://images.unsplash.com/photo-1561484930-998b6a7b22e8?w=800,"₩2,000,000~",약 7시간(경유),,,트립닷컴에서 항공권 확인하기,27.47,89.64
5,다낭,"아시아 최고의 해변 도시, 리조트 천국",vn,쾌청함,25-32°C,"5월은 다낭의 건기 절정기로 미케 해변과 논 느억 해변이 눈부시게 빛납니다. 바나힐 케이블카, 황금 손 다리, 호이안 구시가 야시장까지 해변과 문화를 함께 즐길 수 있습니다.",https://images.unsplash.com/photo-1562604957-38c28e7e9b34?w=800,"₩400,000~",약 5시간,,,트립닷컴에서 항공권 확인하기,16.05,108.2
5,두브로브니크,"아드리아해의 보석, 왕좌의 게임 촬영지",hr,쾌청함,18-26°C,"5월은 두브로브니크 성수기 직전으로 인파는 적고 날씨는 완벽합니다. 성벽 걷기, 케이블카 전망대, 투명한 아드리아해에서의 수영까지 지중해 최고의 구시가를 여유롭게 즐길 수 있습니다.",https://images.unsplash.com/photo-1555990538-1ebee592f0fe?w=800,"₩1,400,000~",약 14시간,,,트립닷컴에서 항공권 확인하기,42.65,18.09
5,로마,모든 길이 통하는 영원한 도시,it,쾌청함,16-24°C,"5월 로마는 관광하기 최적의 날씨입니다. 콜로세움, 트레비 분수, 바티칸 박물관, 스페인 계단의 봄꽃까지 수천 년 역사와 최고의 날씨가 만나 여행의 모든 것을 충족시켜 줍니다.",https://images.unsplash.com/photo-1552832230-c0197dd311b5?w=800,"₩1,350,000~",약 13시간,,,트립닷컴에서 항공권 확인하기,41.9,12.5
5,바르셀로나,"가우디의 도시, 지중해 감성의 카탈루냐 수도",es,쾌청함,17-24°C,"5월 바르셀로나는 성수기 전 최적의 날씨를 자랑합니다. 사그라다 파밀리아, 파크 구엘, 바르셀로네타 해변, 람블라스 거리까지 하루 24시간이 부족할 만큼 매력적입니다.",https://images.unsplash.com/photo-1583422409516-2895a77efded?w=800,"₩1,350,000~",약 14시간,,,트립닷컴에서 항공권 확인하기,41.39,2.15
5,카르타헤나,"카리브해와 색채의 나라, 화려한 구시가",co,더움,28-33°C,"5월 카르타헤나는 건기와 우기 사이로 날씨가 적당합니다. 유네스코 세계문화유산인 구시가의 형형색색 건물들, 말레콘 산책로, 근교 섬 로살리오까지 콜롬비아의 반전 매력에 빠져드세요.",https://images.unsplash.com/photo-1568585219172-c04a50f9e88b?w=800,"₩1,800,000~",약 20시간(경유),,,트립닷컴에서 항공권 확인하기,10.4,-75.51
5,뉴욕(봄),"세상의 수도, 뉴욕의 봄은 특별하다",us,쾌청함,14-22°C,"5월 뉴욕은 센트럴 파크에 꽃이 피고 브루클린 다리 아래 튤립 필드가 장관입니다. 브로드웨이 뮤지컬, 메트로폴리탄 미술관, 하이라인 파크까지 봄의 뉴욕은 살아 숨 쉽니다.",https://images.unsplash.com/photo-1496442226666-8d4d0e62e6e9?w=800,"₩1,300,000~",약 14시간,,,트립닷컴에서 항공권 확인하기,40.71,-74.01
5,산토리니,하얀 건물과 푸른 돔이 빛나는 최고의 일몰 명소,gr,화창함,20-28°C,하얀 건물과 푸른 돔이 아름다운 산토리니. 세계에서 가장 아름다운 일몰을 감상하며 로맨틱한 시간을 보낼 수 있는 최고의 여행지입니다.,https://images.unsplash.com/photo-1497339047006-39f2b26f005d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxTYW50b3JpbmklMjBHcmVlY2UlMjB3aGl0ZSUyMGJ1aWxkaW5nc3xlbnwxfHx8fDE3NzE3MzIwMjN8MA&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"₩950,000~",경유 약 14시간,,,트립닷컴에서 항공권 확인하기,36.39,25.46
5,바르셀로나,가우디 건축과 지중해 해변이 만나는 도시,es,화창함,18-26°C,"사그라다 파밀리아, 구엘 공원 등 가우디의 건축물로 유명한 바르셀로나. 지중해의 아름다운 해변과 맛있는 타파스를 즐길 수 있습니다.",https://images.unsplash.com/photo-1595685842822-7893ddb30176?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMGFyY2hpdGVjdHVyZXxlbnwxfHx8fDE3NzE2NjYzNDJ8MA&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"₩850,000~",직항 약 12시간,,,트립닷컴에서 항공권 확인하기,41.39,2.15
6,괌,"미국령 열대 섬, 가장 가까운 비치 리조트",us,더움,27-32°C,"6월은 괌의 건기로 투몬 비치에서 스노클링, 파라세일링을 즐기기 좋습니다. 가까운 거리에 미국 분위기, 맑은 바닷물, 아웃렛 쇼핑까지 패키지로 즐기기 좋은 여름 여행지입니다.",https://images.unsplash.com/photo-1559666126-84f389727b9a?w=800,"₩500,000~",약 4시간,,,트립닷컴에서 항공권 확인하기,13.44,144.79
